iter,train_loss_mean,action_error,test_total_reward,best_total_reward
1,0.005344928827136755,0.00514815142378211,-34844.47161235619,-34844.47161235619
2,0.0034479738724185155,0.00218646670691669,-13409.088832863083,-13409.088832863083
3,0.0016823437220882624,0.0014582081930711865,-10346.247021859905,-10346.247021859905
4,0.0014493966005393304,0.002173630753532052,-10754.30747066501,-10346.247021859905
5,0.0013491113379132003,0.0018457514233887196,-11428.084363530847,-10346.247021859905
6,0.0012907559529412539,0.0010605897987261415,-16024.300283868839,-10346.247021859905
1,0.0053180692810565235,0.004605048336088657,-38839.46490838184,-38839.46490838184
2,0.0034295400008559226,0.002250662539154291,-9235.288616097514,-9235.288616097514
3,0.001703220225404948,0.0012798404786735773,-9453.662161947563,-9235.288616097514
4,0.0014263829846750014,0.0011672767577692866,-17482.241057103667,-9235.288616097514
5,0.0013701430641231127,0.0013227210147306323,-12282.56195474583,-9235.288616097514
6,0.0012915444811224005,0.001757746678777039,-10847.217386335546,-9235.288616097514
7,0.0012673494958435185,0.0011580236023291945,-13613.896988167977,-9235.288616097514
8,0.0012522502801730298,0.0013286801986396313,-11698.382438729317,-9235.288616097514
9,0.0012110409321030601,0.0013457091990858316,-15319.707860396727,-9235.288616097514
10,0.0012011826917878352,0.0011927098967134953,-13708.51500078927,-9235.288616097514
11,0.0011891888880636544,0.0010260948911309242,-11436.279972824803,-9235.288616097514
12,0.0011595632746466435,0.0012413670774549246,-12063.02229319049,-9235.288616097514
13,0.001162064217554871,0.0013180788373574615,-17735.104268382653,-9235.288616097514
14,0.0011243720853235572,0.0011221755994483829,-10460.967613653378,-9235.288616097514
15,0.001110602585133165,0.0012960350140929222,-15168.67405644842,-9235.288616097514
16,0.001111842286598403,0.0014722264604642987,-12578.420128729751,-9235.288616097514
17,0.0011103113999124615,0.001143364468589425,-8830.161460322071,-8830.161460322071
18,0.0010949079110869207,0.0011397043708711863,-15745.357335894183,-8830.161460322071
19,0.0010989806911093183,0.0011967533500865102,-10406.961393917616,-8830.161460322071
20,0.0010898558205808513,0.0008383062668144703,-10680.67888314596,-8830.161460322071
21,0.0010806330898194573,0.0013234068173915148,-9938.703415889753,-8830.161460322071
22,0.0010756175969145261,0.0007954834727570415,-11083.117492897754,-8830.161460322071
23,0.001073800488782581,0.0010445492807775736,-13994.238593076992,-8830.161460322071
24,0.0010705105192610064,0.0010166870197281241,-10621.046006100598,-8830.161460322071
25,0.001063656872487627,0.0010668038157746196,-10324.073918049924,-8830.161460322071
26,0.00105911465320969,0.000985310529358685,-9747.16757723746,-8830.161460322071
27,0.0010535948635078966,0.0007624641875736415,-11466.224591156424,-8830.161460322071
28,0.0010600519018480554,0.0008370373980142176,-11877.763019142263,-8830.161460322071
29,0.0010485008300165645,0.0012841149000450969,-9755.609618922548,-8830.161460322071
30,0.0010310745344904717,0.0012714319163933396,-10555.244208807406,-8830.161460322071
31,0.0010419650757685303,0.0010934455785900354,-10913.84106096378,-8830.161460322071
32,0.001040410383255221,0.0009152859565801919,-7730.315183369996,-7730.315183369996
33,0.0010319196921191177,0.0010402415646240115,-12667.371868273234,-7730.315183369996
34,0.0010248956796713173,0.0008559306734241545,-12071.108313243829,-7730.315183369996
35,0.0010170113976637367,0.0012572358828037977,-9009.607209036196,-7730.315183369996
36,0.001016725290188333,0.0010716759134083986,-9584.056181742033,-7730.315183369996
37,0.0010147277147916612,0.0008524394361302257,-11613.289487632203,-7730.315183369996
38,0.0010154649009346032,0.0010227304883301258,-12790.671900312862,-7730.315183369996
39,0.0010047606254229321,0.0015208856202661991,-10633.459971914743,-7730.315183369996
40,0.0009910399343352764,0.001077327411621809,-8791.243948239533,-7730.315183369996
41,0.0009790757902082988,0.0009418267291039228,-7807.569653243112,-7730.315183369996
42,0.0009684053001110442,0.0010034531587734818,-7265.707686245063,-7265.707686245063
43,0.000960659918433521,0.0009204060188494623,-6800.832142611381,-6800.832142611381
44,0.000953379140002653,0.0008918726234696805,-5755.7958075309325,-5755.7958075309325
45,0.0009351830887899268,0.0009190354030579329,-6001.422380040735,-5755.7958075309325
