iter,train_loss_mean,action_error,test_total_reward,best_total_reward
1,0.005430297856684774,0.005548237357288599,-26879.19836392794,-26879.19836392794
2,0.0032872766108484937,0.001758974976837635,-16840.069786858847,-16840.069786858847
3,0.0016518698048894294,0.0012941394234076142,-18167.65174765289,-16840.069786858847
4,0.0014023392287199384,0.001459171762689948,-27863.673107327213,-16840.069786858847
5,0.0014046290533733553,0.0014236957067623734,-8655.635405176352,-8655.635405176352
6,0.0013134936632122843,0.0014725897926837206,-18885.82729738873,-8655.635405176352
7,0.0012453221232863144,0.0013743207091465592,-11413.87411458931,-8655.635405176352
8,0.0011982966047944502,0.0013641640543937683,-24752.280724033797,-8655.635405176352
9,0.0012008366947993637,0.0013536440674215555,-21943.988619122058,-8655.635405176352
10,0.0011764024379081093,0.001356201246380806,-13203.325868325226,-8655.635405176352
11,0.0011559009712655097,0.0010360546875745058,-22993.95354614571,-8655.635405176352
12,0.001132419125875458,0.0013528092531487346,-17778.84098369431,-8655.635405176352
13,0.001122254778398201,0.001128236297518015,-17960.74586748382,-8655.635405176352
14,0.001102291296934709,0.0011556186946108937,-16033.799243299523,-8655.635405176352
15,0.001078784765151795,0.0013762573944404721,-17241.41531396246,-8655.635405176352
16,0.0010862564926501363,0.0012888179626315832,-14470.891624502005,-8655.635405176352
17,0.0010785839723539538,0.0009224007953889668,-14024.138601944049,-8655.635405176352
18,0.0010724697049008683,0.0012321165995672345,-18934.68493618525,-8655.635405176352
19,0.0010697444246034137,0.0007858430035412312,-15527.396411799904,-8655.635405176352
20,0.001054728030168917,0.001258770120330155,-10500.97160627307,-8655.635405176352
21,0.0010572729883133434,0.0011660779127851129,-22784.78735107519,-8655.635405176352
22,0.0010534668958280236,0.0011608314234763384,-18647.321252207945,-8655.635405176352
23,0.001047624224156607,0.0008619610453024507,-22074.53032510318,-8655.635405176352
24,0.0010476914712344296,0.0009435000247322023,-15944.645299378684,-8655.635405176352
25,0.001043658203096129,0.0009157028398476541,-15463.240419020784,-8655.635405176352
26,0.001033460992446635,0.0011928671738132834,-21814.430118799104,-8655.635405176352
27,0.001029304230643902,0.0009203357622027397,-14643.376959041456,-8655.635405176352
28,0.0010312903997837567,0.001049634418450296,-10632.876171735761,-8655.635405176352
29,0.0010320248886127956,0.001418863539583981,-10204.14443636724,-8655.635405176352
30,0.001008534033317119,0.0010845708893612027,-11799.591466728198,-8655.635405176352
31,0.0010033595870481804,0.0009317651274614036,-6705.54249179303,-6705.54249179303
32,0.0009789030790270771,0.0011883651604875922,-7383.683409806811,-6705.54249179303
33,0.000969210272654891,0.0010354515397921205,-7955.68351056946,-6705.54249179303
34,0.0009652483579702675,0.0010416574077680707,-7865.895264330242,-6705.54249179303
35,0.0009609787733061239,0.0013806684873998165,-6200.445653654269,-6200.445653654269
36,0.0009631707750959322,0.001114388694986701,-4074.317240465094,-4074.317240465094
37,0.00094029453289113,0.0011704859789460897,-4720.5938765356905,-4074.317240465094
38,0.0009522531334660016,0.0012997452868148685,-6345.565415053332,-4074.317240465094
39,0.0009413855042657815,0.0010870049009099603,-4825.7435396903,-4074.317240465094
40,0.0009347836989327334,0.001034487853758037,-5372.617893236667,-4074.317240465094
41,0.0009262143864179961,0.0007542202947661281,-4052.146677623839,-4052.146677623839
42,0.0009264633954735472,0.0008325330563820899,-5268.67950173256,-4052.146677623839
43,0.0009263157966197469,0.0008249489474110305,-7485.171872109269,-4052.146677623839
44,0.0009145810224872548,0.0009614648879505694,-4336.7229416571845,-4052.146677623839
45,0.0009037264678918291,0.0007316048140637577,-4251.226198164091,-4052.146677623839
46,0.0009089687069645152,0.0008938706596381962,-5377.93546363638,-4052.146677623839
47,0.0009027518746443093,0.0009790384210646152,-4719.3924338674715,-4052.146677623839
48,0.0008925271194893866,0.0011096973903477192,-3626.7053938633253,-3626.7053938633253
49,0.0008892278320563492,0.0007841495680622756,-4374.124259261145,-3626.7053938633253
50,0.0008815367098723072,0.0008135604439303279,-8208.546431435305,-3626.7053938633253
51,0.0008768159193568863,0.0011730447877198458,-4112.702816373124,-3626.7053938633253
52,0.0008815604821429588,0.0008986914181150496,-4059.7644417684046,-3626.7053938633253
53,0.000872724222310353,0.0008424693369306624,-3520.77546495262,-3520.77546495262
54,0.0008564391525578685,0.0010835180291906,-5453.71720422835,-3520.77546495262
55,0.0008634618870855775,0.0008954298100434244,-3897.598939562757,-3520.77546495262
56,0.0008601925708935596,0.0008823143434710801,-7538.492283721012,-3520.77546495262
57,0.0008496236504870467,0.000914424192160368,-3493.829539655567,-3493.829539655567
58,0.0008454617387615145,0.0007387748337350786,-7038.381463320371,-3493.829539655567
59,0.0008532440027920529,0.0009068093495443463,-7005.677919337899,-3493.829539655567
60,0.0008350678845890798,0.0007202099659480155,-4319.946715421046,-3493.829539655567
61,0.000835284790431615,0.0009105291101150215,-8903.012020098127,-3493.829539655567
62,0.0008234861119708512,0.0008653138065710664,-3320.849251572564,-3320.849251572564
63,0.0008205521207419224,0.0008231395040638745,-6833.593521306908,-3320.849251572564
64,0.0008146418876713142,0.0007994648185558617,-8543.052359918518,-3320.849251572564
65,0.0008075450650358107,0.0007535991608165205,-6801.39658168146,-3320.849251572564
66,0.000804293250781484,0.0009123493218794465,-5258.6617914579965,-3320.849251572564
67,0.0007933161710679997,0.0008286761003546417,-5598.212361983152,-3320.849251572564
68,0.0008018109213735442,0.0006039635045453906,-7339.351150692996,-3320.849251572564
69,0.0007854406824335456,0.0008653070544824004,-5753.306527017032,-3320.849251572564
70,0.0007790501965209842,0.000854693993460387,-5162.474916393629,-3320.849251572564
71,0.0007756657069840002,0.0009974129498004913,-5728.17214183792,-3320.849251572564
72,0.0007718250421457924,0.0009141038754023612,-5309.341188424124,-3320.849251572564
73,0.0007592645585536956,0.0006459623691625893,-8404.639294717997,-3320.849251572564
74,0.0007602921731886454,0.0005824866238981485,-7400.942904796732,-3320.849251572564
75,0.0007488842307648156,0.0007630485924892128,-5217.31299574625,-3320.849251572564
76,0.0007363512799493038,0.0007961911032907665,-4775.927988280326,-3320.849251572564
77,0.0007369174415362067,0.00082796422066167,-6586.226633279175,-3320.849251572564
78,0.0007385829207487405,0.000730467785615474,-7027.961914314379,-3320.849251572564
79,0.000730139879102353,0.0007586210849694908,-5778.953330394781,-3320.849251572564
80,0.0007199604226916563,0.0006106662913225591,-11470.498922523017,-3320.849251572564
81,0.000715113388869213,0.0006269853329285979,-5895.048937986934,-3320.849251572564
82,0.0007086198261240498,0.0008719030302017927,-4619.191350497417,-3320.849251572564
83,0.0007041919642360881,0.0008658384904265404,-9428.730956042247,-3320.849251572564
84,0.0007009632962290198,0.0005521855782717466,-5616.371586829437,-3320.849251572564
85,0.0007023665345041081,0.0008281082264147699,-7659.816188701947,-3320.849251572564
86,0.0006919468333944678,0.000454691267805174,-4711.795530298334,-3320.849251572564
87,0.0006772415442101192,0.0007769594667479396,-9932.380400725637,-3320.849251572564
88,0.0006740145710646175,0.0006320635438896716,-4963.266897951418,-3320.849251572564
89,0.000669753692112863,0.0006104208878241479,-6127.927233024551,-3320.849251572564
90,0.0006734470622322988,0.0008217485155910254,-7377.33643192452,-3320.849251572564
91,0.0006566204974078573,0.000714908994268626,-7222.672244236327,-3320.849251572564
92,0.0006506938856036868,0.00047767668729647994,-6187.24017458272,-3320.849251572564
93,0.0006517202980467118,0.0007516414043493569,-9157.670084832596,-3320.849251572564
94,0.000644959998287959,0.0008489827741868794,-4814.061244701732,-3320.849251572564
95,0.0006451336188183632,0.0007412850973196328,-7178.243417630738,-3320.849251572564
96,0.0006385189926659223,0.0005530123016797006,-7480.183124490737,-3320.849251572564
97,0.0006289620535389986,0.0008381475345231593,-5777.460688640351,-3320.849251572564
98,0.0006248802927439101,0.0006488143117167056,-6199.968628114368,-3320.849251572564
99,0.0006170246976835188,0.0006208663107827306,-9849.574692160762,-3320.849251572564
100,0.0006143150044081267,0.0006655080942437053,-6332.504353121795,-3320.849251572564
