iter,train_loss_mean,action_error,test_total_reward,best_total_reward
1,0.007827900617383421,0.007651469204574823,-49829.05951506624,-49829.05951506624
2,0.006579501061234623,0.005640118382871151,-46497.99042801733,-46497.99042801733
3,0.004366347097791732,0.0032627079635858536,-62136.554650336504,-46497.99042801733
4,0.003813929287949577,0.004051920026540756,-56431.981253859565,-46497.99042801733
5,0.0036464864483568816,0.00352306105196476,-52005.97900326283,-46497.99042801733
6,0.0035372833330184223,0.0028656127396970987,-48755.46597131443,-46497.99042801733
7,0.003511629610322416,0.0034459002781659365,-56277.48497968018,-46497.99042801733
8,0.00352452281746082,0.0029401557985693216,-52610.37141865936,-46497.99042801733
9,0.0034258949337527154,0.0042503285221755505,-55374.01307442839,-46497.99042801733
10,0.0034328385572880505,0.003570381784811616,-59785.93263631756,-46497.99042801733
11,0.0034186502238735556,0.0036424233112484217,-69381.75636896057,-46497.99042801733
12,0.003385578774381429,0.002650550100952387,-71807.99725106783,-46497.99042801733
13,0.00339605190558359,0.0031478917226195335,-69435.9361874818,-46497.99042801733
14,0.003384326169267297,0.003604917787015438,-63370.369592282266,-46497.99042801733
15,0.0033940976515877993,0.003325670026242733,-58823.88778174306,-46497.99042801733
16,0.0034025860498659312,0.0033065297175198793,-59508.30158125691,-46497.99042801733
17,0.0033689416068373246,0.003772335359826684,-66329.6005492142,-46497.99042801733
18,0.003359610877465457,0.003483911044895649,-67009.86526254144,-46497.99042801733
19,0.003350480724358931,0.0028003857005387545,-62752.040166636616,-46497.99042801733
20,0.003318583138170652,0.003354079555720091,-61505.95454365559,-46497.99042801733
21,0.003346073750872165,0.004066952504217625,-59577.242988709484,-46497.99042801733
22,0.0033138340075965973,0.0028602387756109238,-62317.583872221454,-46497.99042801733
23,0.0033512101077940314,0.0029515132773667574,-58658.60578344471,-46497.99042801733
24,0.003320758828893304,0.002596822800114751,-59768.35062490289,-46497.99042801733
25,0.0033346396225970238,0.0051844073459506035,-60650.10643434362,-46497.99042801733
26,0.0033348153789993376,0.0033136724960058928,-59729.1195151111,-46497.99042801733
27,0.0033180679408833383,0.003952500876039267,-66193.02280996053,-46497.99042801733
28,0.003281408297130838,0.0034715437795966864,-63754.92100566405,-46497.99042801733
29,0.0032922085199970754,0.0026111456099897623,-73521.27376217145,-46497.99042801733
30,0.0033073647468117996,0.003920745104551315,-66282.05171492629,-46497.99042801733
31,0.0033070301255211233,0.0029488939326256514,-65218.81738843125,-46497.99042801733
32,0.003304537474643439,0.002893803408369422,-64802.40316777842,-46497.99042801733
33,0.0033039365331642328,0.0036555707920342684,-61393.90025365086,-46497.99042801733
34,0.0032666897310409697,0.003197713289409876,-64139.15690906309,-46497.99042801733
35,0.0032929269676096736,0.0038980625104159117,-70412.53476152066,-46497.99042801733
36,0.003301437660586089,0.00336627708747983,-57226.57000457599,-46497.99042801733
37,0.0032482131698634478,0.0028214287012815475,-64106.88022449776,-46497.99042801733
38,0.0032850002329796553,0.0031748702749609947,-61145.63906502465,-46497.99042801733
39,0.0032625299971550704,0.003290515625849366,-67229.07692357706,-46497.99042801733
40,0.0032829042526427658,0.003943394869565964,-60567.80690429325,-46497.99042801733
41,0.0032464355377014725,0.0031955759041011333,-64121.641101470435,-46497.99042801733
42,0.0032703736948315053,0.004036336671561003,-58540.53019202516,-46497.99042801733
43,0.0032707700807368383,0.003695764811709523,-59892.82959590605,-46497.99042801733
44,0.0032864547348581256,0.003283075289800763,-59973.24176447877,-46497.99042801733
45,0.0032978062564507126,0.0028547265101224184,-54419.19076312976,-46497.99042801733
46,0.003260912716388702,0.004158128052949905,-55634.82899159083,-46497.99042801733
47,0.0032686464299913494,0.003299670061096549,-62685.29094280229,-46497.99042801733
48,0.003261122250347398,0.0035362043417990208,-63354.86612843857,-46497.99042801733
49,0.0032534287429880353,0.003374669933691621,-53607.74386670791,-46497.99042801733
50,0.0032435495626414197,0.001976663712412119,-55312.58618644357,-46497.99042801733
51,0.0032281404396053404,0.0030302596278488636,-54304.84223266262,-46497.99042801733
52,0.0032185188971925525,0.00349249504506588,-55030.997457743055,-46497.99042801733
53,0.003224388510454446,0.0028828897047787905,-49669.99088430182,-46497.99042801733
54,0.0032431193334050475,0.0031833909451961517,-48969.26167796277,-46497.99042801733
55,0.003211971697281115,0.0033145188353955746,-49363.20089030236,-46497.99042801733
56,0.0031949382764287293,0.002790866419672966,-46776.04710280836,-46497.99042801733
57,0.003199325423804112,0.0027050492353737354,-51309.97936374375,-46497.99042801733
58,0.003201002504210919,0.005144206341356039,-51025.36312616064,-46497.99042801733
59,0.003217640888062306,0.0032601088751107454,-47858.86371885449,-46497.99042801733
60,0.0031867312979884446,0.003970701713114977,-47943.29460899785,-46497.99042801733
61,0.0032013678196817635,0.0030709088314324617,-49285.6807848816,-46497.99042801733
62,0.0031931592805776745,0.0033232492860406637,-49206.622457179124,-46497.99042801733
63,0.0032082032717298714,0.002559871645644307,-44140.088206703695,-44140.088206703695
64,0.0031867503058165313,0.003507120069116354,-43984.122854207526,-43984.122854207526
65,0.0032250667293556036,0.0035698614083230495,-41133.11474716863,-41133.11474716863
66,0.003194734863238409,0.0033626644872128963,-44723.28920974859,-41133.11474716863
67,0.003182249312289059,0.003732812823727727,-44488.29295864425,-41133.11474716863
68,0.0031825626135105266,0.0032372423447668552,-42051.28224657572,-41133.11474716863
69,0.003182295511243865,0.003285257378593087,-43176.05547732894,-41133.11474716863
70,0.0031826769039034843,0.003434985876083374,-41263.19324843998,-41133.11474716863
71,0.00317347527644597,0.003863981459289789,-45093.53737108695,-41133.11474716863
72,0.003163899480830878,0.0029541233088821173,-43087.165994486924,-41133.11474716863
73,0.0031778148215962573,0.0030286016408354044,-42963.86166461665,-41133.11474716863
74,0.0031512810143176466,0.003319215727970004,-40757.37501672786,-40757.37501672786
75,0.003182495684013702,0.00294765317812562,-43699.388915457195,-40757.37501672786
76,0.0031669530734652653,0.002142164157703519,-43855.511212247795,-40757.37501672786
